,latestPrice,zipcode,Count_Crimes
1153,307500.0,78717,3553.0
1154,215000.0,78724,6658.0
1155,230000.0,78750,5435.0
1156,312000.0,78744,21305.0
1157,3499000.0,78746,5230.0
1158,266800.0,78726,2580.0
1159,1500000.0,78734,7.0
1160,178000.0,78725,624.0
1161,166000.0,78617,3417.0
1162,595000.0,78732,70.0
1163,599900.0,78739,1000.0
1164,239900.0,78724,6658.0
1165,399900.0,78744,21305.0
1166,450000.0,78731,5780.0
1167,830000.0,78750,5435.0
1168,3495000.0,78746,5230.0
1169,262000.0,78725,624.0
1170,850000.0,78734,7.0
1171,479500.0,78759,13881.0
1172,475000.0,78733,23.0
1173,339000.0,78724,6658.0
1174,1179000.0,78730,1028.0
1175,2995000.0,78730,1028.0
1176,205000.0,78725,624.0
1177,500000.0,78737,63.0
1178,400000.0,78717,3553.0
1179,550000.0,78726,2580.0
1180,2408900.0,78732,70.0
1181,229900.0,78617,3417.0
1182,1550000.0,78730,1028.0
1183,449900.0,78744,21305.0
1184,389000.0,78737,63.0
1185,798000.0,78730,1028.0
1186,379000.0,78717,3553.0
1187,219000.0,78724,6658.0
1188,195000.0,78724,6658.0
1189,1099000.0,78730,1028.0
1190,660000.0,78739,1000.0
1191,340000.0,78750,5435.0
1192,3385000.0,78746,5230.0
1193,355000.0,78717,3553.0
1194,799000.0,78733,23.0
1195,479900.0,78732,70.0
1196,179900.0,78617,3417.0
1197,624999.0,78750,5435.0
1198,529000.0,78746,5230.0
1199,839000.0,78732,70.0
1200,865000.0,78733,23.0
1201,339900.0,78717,3553.0
1202,421635.0,78744,21305.0
1203,499900.0,78726,2580.0
1204,194900.0,78724,6658.0
1205,199000.0,78617,3417.0
1206,895000.0,78733,23.0
1207,1134000.0,78746,5230.0
1208,395000.0,78724,6658.0
1209,335000.0,78744,21305.0
1210,167500.0,78724,6658.0
1211,589000.0,78732,70.0
1212,1139000.0,78746,5230.0
1213,223000.0,78724,6658.0
1214,220000.0,78724,6658.0
1215,1584999.0,78732,70.0
1216,267500.0,78744,21305.0
1217,295000.0,78717,3553.0
1218,1995000.0,78731,5780.0
1219,199000.0,78617,3417.0
1220,795000.0,78733,23.0
1221,1130000.0,78730,1028.0
1222,700000.0,78732,70.0
1223,675000.0,78750,5435.0
1224,239900.0,78724,6658.0
1225,899000.0,78746,5230.0
1226,233000.0,78617,3417.0
1227,500000.0,78750,5435.0
1228,879900.0,78730,1028.0
1229,415000.0,78744,21305.0
1230,224999.0,78725,624.0
1231,1475000.0,78746,5230.0
1232,445000.0,78726,2580.0
1233,769000.0,78739,1000.0
1234,190000.0,78725,624.0
1235,445000.0,78724,6658.0
1236,859000.0,78731,5780.0
1237,292076.0,78744,21305.0
1238,199000.0,78724,6658.0
1239,599000.0,78750,5435.0
1240,2649000.0,78746,5230.0
1241,414900.0,78737,63.0
1242,429900.0,78731,5780.0
1243,1050000.0,78733,23.0
1244,160000.0,78617,3417.0
1245,205000.0,78724,6658.0
1246,2249000.0,78746,5230.0
1247,369900.0,78724,6658.0
1248,465000.0,78750,5435.0
1249,625000.0,78737,63.0
1250,350000.0,78729,6399.0
1251,895000.0,78730,1028.0
1252,850000.0,78732,70.0
1253,214990.0,78617,3417.0
1254,195000.0,78725,624.0
1255,559000.0,78750,5435.0
1256,1449000.0,78737,63.0
1257,111500.0,78617,3417.0
1258,555000.0,78750,5435.0
1259,600000.0,78733,23.0
1260,240000.0,78724,6658.0
1261,185295.0,78724,6658.0
1262,895000.0,78730,1028.0
1263,199000.0,78617,3417.0
1264,399000.0,78729,6399.0
1265,895000.0,78733,23.0
1266,1595000.0,78730,1028.0
1267,689900.0,78737,63.0
1268,192000.0,78724,6658.0
1269,599000.0,78733,23.0
1270,74000.0,78617,3417.0
1271,429000.0,78717,3553.0
1272,570000.0,78750,5435.0
1273,975000.0,78730,1028.0
1274,525000.0,78737,63.0
1275,715000.0,78732,70.0
1276,1125000.0,78733,23.0
1277,929900.0,78750,5435.0
1278,415000.0,78724,6658.0
1279,849900.0,78733,23.0
1280,500000.0,78732,70.0
1281,461900.0,78724,6658.0
1282,1389000.0,78730,1028.0
1283,195000.0,78617,3417.0
1284,188000.0,78725,624.0
1285,425000.0,78733,23.0
1286,365000.0,78717,3553.0
1287,689900.0,78750,5435.0
1288,3900000.0,78730,1028.0
1289,185000.0,78617,3417.0
1290,140000.0,78724,6658.0
1291,219000.0,78733,23.0
1292,359500.0,78717,3553.0
1293,589000.0,78739,1000.0
1294,320000.0,78744,21305.0
1295,672000.0,78759,13881.0
1296,218900.0,78617,3417.0
1297,619900.0,78653,349.0
1298,8750000.0,78746,5230.0
1299,253900.0,78719,2107.0
1300,529900.0,78730,1028.0
1301,565000.0,78733,23.0
1302,288000.0,78724,6658.0
1303,569000.0,78726,2580.0
1304,144900.0,78617,3417.0
1305,495000.0,78737,63.0
1306,755000.0,78732,70.0
1307,205000.0,78725,624.0
1308,339900.0,78717,3553.0
1309,3275000.0,78730,1028.0
1310,799000.0,78733,23.0
1311,337000.0,78750,5435.0
1312,194900.0,78617,3417.0
1313,699000.0,78730,1028.0
1314,249900.0,78724,6658.0
1315,444297.0,78744,21305.0
1316,200000.0,78725,624.0
1317,578400.0,78737,63.0
1318,1300000.0,78730,1028.0
1319,400000.0,78744,21305.0
1320,895000.0,78732,70.0
1321,800000.0,78733,23.0
1322,495000.0,78750,5435.0
1323,2900000.0,78746,5230.0
1324,349500.0,78724,6658.0
1325,515000.0,78737,63.0
1326,800000.0,78732,70.0
1327,675000.0,78732,70.0
1328,415000.0,78744,21305.0
1329,950000.0,78746,5230.0
1330,700000.0,78750,5435.0
1331,348000.0,78732,70.0
1332,640000.0,78739,1000.0
1333,229900.0,78617,3417.0
1334,949900.0,78733,23.0
1335,1300000.0,78746,5230.0
1336,310000.0,78717,3553.0
1337,547000.0,78726,2580.0
1338,400000.0,78724,6658.0
1339,70000.0,78724,6658.0
1340,559000.0,78737,63.0
1341,395000.0,78732,70.0
1342,699000.0,78746,5230.0
1343,415000.0,78750,5435.0
